score_id,student_id,student_name,class_name,subject,score,assessment_date,teacher_name
60,8,Harvey,Year 10,English,80,2025-02-22,Mrs Green
61,8,Harvey,Year 10,Computing,52,2025-05-26,Ms Carter
62,8,Harvey,Year 10,Science,62,2025-08-19,Mrs Green
63,8,Harvey,Year 10,Science,98,2025-08-12,Ms Carter
64,8,Harvey,Year 10,Science,97,2025-08-19,Mr Shah
65,9,Isha,Year 9,Math,71,2025-01-28,Mr Shah
66,9,Isha,Year 9,Computing,68,2025-05-01,Mr Shah
67,9,Isha,Year 9,Math,68,2025-04-25,Ms Carter
68,9,Isha,Year 9,English,51,2025-11-29,Mr Shah
69,9,Isha,Year 9,Science,53,2025-01-20,Mr Shah
70,9,Isha,Year 9,History,89,2025-03-13,Mrs Green
71,9,Isha,Year 9,History,73,2025-11-12,Ms Carter
72,9,Isha,Year 9,Math,46,2025-05-12,Ms Carter
73,10,Jacob,Year 10,Science,80,2025-11-08,Mrs Green
74,10,Jacob,Year 10,History,52,2025-05-28,Ms Carter
75,10,Jacob,Year 10,English,52,2025-01-25,Ms Carter
76,10,Jacob,Year 10,History,85,2025-11-15,Mr Shah
77,10,Jacob,Year 10,Math,52,2025-09-13,Mrs Green
78,10,Jacob,Year 10,Computing,46,2025-11-20,Mrs Green
79,10,Jacob,Year 10,Computing,60,2025-03-15,Mr Shah
80,10,Jacob,Year 10,History,45,2025-11-11,Mr Shah
81,11,Khloe,Year 9,Science,81,2025-08-02,Ms Carter
82,11,Khloe,Year 9,Math,78,2025-07-04,Ms Carter
83,11,Khloe,Year 9,Computing,79,2025-09-17,Mrs Green
84,11,Khloe,Year 9,Computing,46,2025-07-19,Mr Shah
85,11,Khloe,Year 9,Math,85,2025-07-18,Mr Shah
86,11,Khloe,Year 9,English,92,2025-01-09,Mr Shah
87,11,Khloe,Year 9,Math,67,2025-05-04,Mrs Green
88,11,Khloe,Year 9,Math,94,2025-10-25,Mrs Green
89,12,Leo,Year 10,English,53,2025-01-23,Mr Shah
90,12,Leo,Year 10,Computing,66,2025-11-26,Ms Carter
91,12,Leo,Year 10,History,89,2025-09-03,Mrs Green
92,12,Leo,Year 10,Science,96,2025-03-11,Ms Carter
93,12,Leo,Year 10,History,47,2025-05-31,Ms Carter
94,12,Leo,Year 10,Math,95,2025-04-13,Ms Carter
95,12,Leo,Year 10,English,64,2025-09-21,Mr Shah
96,12,Leo,Year 10,Computing,75,2025-05-10,Ms Carter
97,13,Maya,Year 10,Science,63,2025-07-02,Ms Carter
98,13,Maya,Year 10,English,62,2025-03-05,Mr Shah
99,13,Maya,Year 10,History,70,2025-08-14,Mr Shah
100,13,Maya,Year 10,English,56,2025-09-12,Mrs Green
101,13,Maya,Year 10,History,68,2025-09-23,Mr Shah
102,13,Maya,Year 10,Math,91,2025-08-06,Ms Carter
103,13,Maya,Year 10,History,83,2025-04-03,Mrs Green
104,13,Maya,Year 10,English,65,2025-02-22,Ms Carter
105,14,Noah,Year 9,English,87,2025-06-01,Mr Shah
106,14,Noah,Year 9,History,83,2025-08-07,Ms Carter
107,14,Noah,Year 9,History,67,2025-08-17,Ms Carter
108,14,Noah,Year 9,English,84,2025-08-11,Mr Shah
109,14,Noah,Year 9,Math,49,2025-12-10,Mrs Green
110,14,Noah,Year 9,History,68,2025-09-20,Mrs Green
111,14,Noah,Year 9,Science,46,2025-03-15,Mrs Green
112,14,Noah,Year 9,History,47,2025-03-06,Ms Carter
113,15,Olivia,Year 9,Science,94,2025-11-27,Mr Shah
114,15,Olivia,Year 9,English,69,2025-10-18,Ms Carter
115,15,Olivia,Year 9,Computing,54,2025-12-14,Mr Shah
116,15,Olivia,Year 9,English,68,2025-08-16,Ms Carter
117,15,Olivia,Year 9,Computing,53,2025-09-29,Mr Shah
118,15,Olivia,Year 9,History,65,2025-11-29,Mr Shah
119,15,Olivia,Year 9,Science,52,2025-01-14,Mrs Green
120,15,Olivia,Year 9,Science,76,2025-09-23,Mr Shah
121,16,Priya,Year 8,Computing,52,2025-05-15,Mr Shah
122,16,Priya,Year 8,History,58,2025-11-10,Mr Shah
123,16,Priya,Year 8,History,57,2025-03-04,Ms Carter
124,16,Priya,Year 8,Math,73,2025-03-30,Mrs Green
125,16,Priya,Year 8,History,50,2025-12-16,Mr Shah
126,16,Priya,Year 8,English,90,2025-02-03,Mrs Green
127,16,Priya,Year 8,Computing,63,2025-06-03,Ms Carter
128,16,Priya,Year 8,Science,95,2025-07-05,Mrs Green
129,17,Rohan,Year 9,Science,52,2025-04-13,Ms Carter
130,17,Rohan,Year 9,Science,95,2025-09-10,Ms Carter
131,17,Rohan,Year 9,English,80,2025-10-21,Mr Shah
132,17,Rohan,Year 9,History,96,2025-10-10,Ms Carter
133,17,Rohan,Year 9,Computing,50,2025-02-03,Mr Shah
134,17,Rohan,Year 9,History,90,2025-09-03,Mrs Green
135,17,Rohan,Year 9,History,94,2025-07-29,Mrs Green
136,17,Rohan,Year 9,Math,53,2025-06-12,Mrs Green
137,18,Sophie,Year 8,Math,73,2025-08-27,Mrs Green
138,18,Sophie,Year 8,Computing,67,2025-03-07,Mrs Green
139,18,Sophie,Year 8,Computing,56,2025-03-08,Mr Shah
140,18,Sophie,Year 8,Computing,48,2025-03-05,Mrs Green
141,18,Sophie,Year 8,Science,64,2025-03-26,Ms Carter
142,18,Sophie,Year 8,English,90,2025-04-26,Mr Shah
143,18,Sophie,Year 8,Computing,63,2025-02-10,Mr Shah
144,18,Sophie,Year 8,Science,85,2025-10-10,Mr Shah
145,19,Theo,Year 9,Science,85,2025-06-05,Mrs Green
146,19,Theo,Year 9,Computing,50,2025-09-15,Mrs Green
147,19,Theo,Year 9,Science,82,2025-10-25,Ms Carter
148,19,Theo,Year 9,Science,87,2025-11-16,Mrs Green
149,19,Theo,Year 9,Computing,66,2025-10-16,Ms Carter
150,19,Theo,Year 9,Math,50,2025-01-24,Mrs Green
151,19,Theo,Year 9,Computing,61,2025-11-30,Ms Carter
152,19,Theo,Year 9,Computing,71,2025-11-13,Mrs Green
153,20,Zara,Year 8,Math,76,2025-11-18,Mrs Green
154,20,Zara,Year 8,English,86,2025-06-04,Mr Shah
155,20,Zara,Year 8,Science,96,2025-12-17,Mr Shah
156,20,Zara,Year 8,English,74,2025-02-07,Mrs Green
157,20,Zara,Year 8,Math,55,2025-08-14,Mr Shah
158,20,Zara,Year 8,History,74,2025-04-15,Mr Shah
159,20,Zara,Year 8,Computing,54,2025-06-10,Mrs Green
160,20,Zara,Year 8,English,91,2025-06-26,Mr Shah
