attendance_id,student_id,student_name,class_name,date,status
73,3,Bella,Year 9,2025-12-13,Present
74,3,Bella,Year 9,2025-12-15,Present
75,3,Bella,Year 9,2025-12-21,Present
76,3,Bella,Year 9,2025-09-05,Present
77,3,Bella,Year 9,2025-05-07,Present
78,3,Bella,Year 9,2025-06-02,Present
79,3,Bella,Year 9,2025-06-02,Present
80,3,Bella,Year 9,2025-12-27,Present
81,3,Bella,Year 9,2025-12-27,Present
82,3,Bella,Year 9,2025-09-03,Present
83,3,Bella,Year 9,2025-05-21,Present
84,3,Bella,Year 9,2025-10-21,Present
85,3,Bella,Year 9,2025-07-14,Absent
86,3,Bella,Year 9,2025-07-22,Present
87,3,Bella,Year 9,2025-03-16,Present
88,3,Bella,Year 9,2025-05-28,Late
89,3,Bella,Year 9,2025-02-10,Present
90,3,Bella,Year 9,2025-08-15,Present
91,4,Callum,Year 8,2025-09-03,Present
92,4,Callum,Year 8,2025-10-03,Present
93,4,Callum,Year 8,2025-10-15,Present
94,4,Callum,Year 8,2025-03-12,Present
95,4,Callum,Year 8,2025-10-28,Present
96,4,Callum,Year 8,2025-01-26,Present
97,4,Callum,Year 8,2025-09-29,Present
98,4,Callum,Year 8,2025-04-30,Present
99,4,Callum,Year 8,2025-07-31,Present
100,4,Callum,Year 8,2025-08-30,Present
101,4,Callum,Year 8,2025-03-12,Present
102,4,Callum,Year 8,2025-10-09,Late
103,4,Callum,Year 8,2025-03-22,Present
104,4,Callum,Year 8,2025-09-01,Present
105,4,Callum,Year 8,2025-04-13,Present
106,4,Callum,Year 8,2025-05-28,Present
107,4,Callum,Year 8,2025-11-27,Present
108,4,Callum,Year 8,2025-02-15,Present
109,4,Callum,Year 8,2025-04-29,Present
110,4,Callum,Year 8,2025-01-20,Absent
111,4,Callum,Year 8,2025-03-31,Present
112,4,Callum,Year 8,2025-04-01,Absent
113,4,Callum,Year 8,2025-01-19,Late
114,4,Callum,Year 8,2025-07-23,Present
115,4,Callum,Year 8,2025-04-06,Absent
116,4,Callum,Year 8,2025-05-29,Absent
117,4,Callum,Year 8,2025-01-05,Present
118,4,Callum,Year 8,2025-11-05,Present
119,4,Callum,Year 8,2025-06-21,Present
120,4,Callum,Year 8,2025-11-25,Present
121,5,Diya,Year 9,2025-09-10,Absent
122,5,Diya,Year 9,2025-03-10,Absent
123,5,Diya,Year 9,2025-08-28,Present
124,5,Diya,Year 9,2025-02-27,Present
125,5,Diya,Year 9,2025-08-23,Present
126,5,Diya,Year 9,2025-04-06,Present
127,5,Diya,Year 9,2025-06-22,Present
128,5,Diya,Year 9,2025-10-18,Present
129,5,Diya,Year 9,2025-04-09,Present
130,5,Diya,Year 9,2025-11-24,Absent
131,5,Diya,Year 9,2025-08-07,Present
132,5,Diya,Year 9,2025-02-14,Present
133,5,Diya,Year 9,2025-02-18,Present
134,5,Diya,Year 9,2025-03-13,Present
135,5,Diya,Year 9,2025-05-08,Present
136,5,Diya,Year 9,2025-07-16,Present
137,5,Diya,Year 9,2025-05-17,Late
138,5,Diya,Year 9,2025-06-04,Present
139,5,Diya,Year 9,2025-10-21,Present
140,5,Diya,Year 9,2025-12-01,Present
141,5,Diya,Year 9,2025-05-01,Present
142,5,Diya,Year 9,2025-03-02,Present
143,5,Diya,Year 9,2025-03-23,Present
144,5,Diya,Year 9,2025-09-15,Absent
145,5,Diya,Year 9,2025-12-27,Present
146,5,Diya,Year 9,2025-12-20,Present
147,5,Diya,Year 9,2025-06-01,Present
148,5,Diya,Year 9,2025-04-24,Present
149,5,Diya,Year 9,2025-03-10,Present
150,5,Diya,Year 9,2025-08-21,Present
151,6,Ethan,Year 8,2025-11-07,Present
152,6,Ethan,Year 8,2025-12-26,Present
153,6,Ethan,Year 8,2025-08-30,Present
154,6,Ethan,Year 8,2025-12-07,Present
155,6,Ethan,Year 8,2025-05-07,Present
156,6,Ethan,Year 8,2025-11-02,Absent
157,6,Ethan,Year 8,2025-02-11,Present
158,6,Ethan,Year 8,2025-09-28,Present
159,6,Ethan,Year 8,2025-02-09,Absent
160,6,Ethan,Year 8,2025-02-27,Present
161,6,Ethan,Year 8,2025-10-08,Absent
162,6,Ethan,Year 8,2025-04-14,Present
163,6,Ethan,Year 8,2025-03-18,Present
164,6,Ethan,Year 8,2025-09-24,Present
165,6,Ethan,Year 8,2025-12-15,Present
166,6,Ethan,Year 8,2025-10-26,Present
167,6,Ethan,Year 8,2025-09-19,Present
168,6,Ethan,Year 8,2025-01-29,Present
169,6,Ethan,Year 8,2025-09-20,Present
170,6,Ethan,Year 8,2025-10-16,Present
171,6,Ethan,Year 8,2025-08-25,Present
172,6,Ethan,Year 8,2025-06-07,Present
173,6,Ethan,Year 8,2025-07-22,Present
174,6,Ethan,Year 8,2025-01-02,Present
175,6,Ethan,Year 8,2025-10-24,Present
176,6,Ethan,Year 8,2025-08-05,Present
177,6,Ethan,Year 8,2025-02-02,Present
178,6,Ethan,Year 8,2025-01-31,Absent
179,6,Ethan,Year 8,2025-02-05,Late
180,6,Ethan,Year 8,2025-08-30,Present
181,7,Freya,Year 9,2025-07-29,Present
182,7,Freya,Year 9,2025-03-11,Present
183,7,Freya,Year 9,2025-11-27,Late
184,7,Freya,Year 9,2025-07-11,Late
185,7,Freya,Year 9,2025-07-15,Present
186,7,Freya,Year 9,2025-07-13,Present
187,7,Freya,Year 9,2025-12-16,Late
188,7,Freya,Year 9,2025-10-04,Present
189,7,Freya,Year 9,2025-06-28,Present
190,7,Freya,Year 9,2025-10-03,Present
191,7,Freya,Year 9,2025-03-07,Present
192,7,Freya,Year 9,2025-04-25,Present
193,7,Freya,Year 9,2025-01-12,Late
194,7,Freya,Year 9,2025-08-26,Present
195,7,Freya,Year 9,2025-10-06,Present
196,7,Freya,Year 9,2025-07-14,Present
197,7,Freya,Year 9,2025-05-07,Present
198,7,Freya,Year 9,2025-03-21,Present
199,7,Freya,Year 9,2025-02-27,Present
200,7,Freya,Year 9,2025-12-05,Present
201,7,Freya,Year 9,2025-01-09,Present
202,7,Freya,Year 9,2025-02-04,Present
203,7,Freya,Year 9,2025-01-18,Present
204,7,Freya,Year 9,2025-12-11,Present
205,7,Freya,Year 9,2025-01-25,Present
206,7,Freya,Year 9,2025-01-23,Present
207,7,Freya,Year 9,2025-04-30,Present
208,7,Freya,Year 9,2025-01-29,Present
209,7,Freya,Year 9,2025-05-29,Present
210,7,Freya,Year 9,2025-10-22,Present
211,8,Harvey,Year 10,2025-11-03,Present
212,8,Harvey,Year 10,2025-06-14,Present
213,8,Harvey,Year 10,2025-03-15,Late
214,8,Harvey,Year 10,2025-09-24,Present
215,8,Harvey,Year 10,2025-06-03,Present
216,8,Harvey,Year 10,2025-10-13,Late
217,8,Harvey,Year 10,2025-03-31,Present
218,8,Harvey,Year 10,2025-08-07,Present
219,8,Harvey,Year 10,2025-01-25,Late
220,8,Harvey,Year 10,2025-11-26,Present
221,8,Harvey,Year 10,2025-09-26,Present
222,8,Harvey,Year 10,2025-08-02,Present
223,8,Harvey,Year 10,2025-06-03,Present
224,8,Harvey,Year 10,2025-10-03,Present
225,8,Harvey,Year 10,2025-04-26,Present
226,8,Harvey,Year 10,2025-12-29,Present
227,8,Harvey,Year 10,2025-08-26,Absent
228,8,Harvey,Year 10,2025-10-15,Present
229,8,Harvey,Year 10,2025-08-02,Present
230,8,Harvey,Year 10,2025-03-10,Present
231,8,Harvey,Year 10,2025-05-11,Present
232,8,Harvey,Year 10,2025-11-28,Present
233,8,Harvey,Year 10,2025-08-19,Absent
234,8,Harvey,Year 10,2025-02-17,Present
235,8,Harvey,Year 10,2025-04-08,Present
236,8,Harvey,Year 10,2025-07-13,Present
237,8,Harvey,Year 10,2025-11-05,Present
238,8,Harvey,Year 10,2025-02-07,Present
239,8,Harvey,Year 10,2025-10-28,Present
240,8,Harvey,Year 10,2025-10-14,Present
241,9,Isha,Year 9,2025-04-17,Absent
242,9,Isha,Year 9,2025-06-20,Present
243,9,Isha,Year 9,2025-01-08,Present
244,9,Isha,Year 9,2025-04-08,Late
245,9,Isha,Year 9,2025-03-02,Present
246,9,Isha,Year 9,2025-09-03,Absent
247,9,Isha,Year 9,2025-12-23,Present
248,9,Isha,Year 9,2025-04-15,Present
249,9,Isha,Year 9,2025-05-03,Present
250,9,Isha,Year 9,2025-05-25,Present
251,9,Isha,Year 9,2025-10-01,Present
252,9,Isha,Year 9,2025-06-07,Present
253,9,Isha,Year 9,2025-09-20,Absent
254,9,Isha,Year 9,2025-08-27,Present
255,9,Isha,Year 9,2025-08-29,Present
256,9,Isha,Year 9,2025-06-13,Absent
257,9,Isha,Year 9,2025-07-09,Present
258,9,Isha,Year 9,2025-01-24,Present
259,9,Isha,Year 9,2025-04-24,Present
260,9,Isha,Year 9,2025-01-09,Present
261,9,Isha,Year 9,2025-10-27,Present
262,9,Isha,Year 9,2025-08-02,Present
263,9,Isha,Year 9,2025-04-11,Present
264,9,Isha,Year 9,2025-07-14,Present
265,9,Isha,Year 9,2025-05-06,Present
266,9,Isha,Year 9,2025-12-02,Late
267,9,Isha,Year 9,2025-06-22,Present
268,9,Isha,Year 9,2025-09-08,Late
269,9,Isha,Year 9,2025-11-25,Present
270,9,Isha,Year 9,2025-08-24,Present
271,10,Jacob,Year 10,2025-06-30,Present
272,10,Jacob,Year 10,2025-10-07,Present
273,10,Jacob,Year 10,2025-10-05,Late
274,10,Jacob,Year 10,2025-01-31,Present
275,10,Jacob,Year 10,2025-02-08,Late
276,10,Jacob,Year 10,2025-12-09,Present
277,10,Jacob,Year 10,2025-01-04,Present
278,10,Jacob,Year 10,2025-11-19,Present
279,10,Jacob,Year 10,2025-12-29,Present
280,10,Jacob,Year 10,2025-04-22,Present
281,10,Jacob,Year 10,2025-07-11,Present
282,10,Jacob,Year 10,2025-11-23,Present
283,10,Jacob,Year 10,2025-11-12,Absent
284,10,Jacob,Year 10,2025-12-04,Present
285,10,Jacob,Year 10,2025-01-04,Present
286,10,Jacob,Year 10,2025-07-30,Present
287,10,Jacob,Year 10,2025-09-29,Present
288,10,Jacob,Year 10,2025-10-02,Late
289,10,Jacob,Year 10,2025-01-09,Present
290,10,Jacob,Year 10,2025-12-24,Present
291,10,Jacob,Year 10,2025-04-02,Present
292,10,Jacob,Year 10,2025-02-19,Present
293,10,Jacob,Year 10,2025-05-04,Present
294,10,Jacob,Year 10,2025-09-27,Present
295,10,Jacob,Year 10,2025-07-01,Present
296,10,Jacob,Year 10,2025-07-23,Present
297,10,Jacob,Year 10,2025-07-27,Present
298,10,Jacob,Year 10,2025-05-05,Late
299,10,Jacob,Year 10,2025-04-26,Present
300,10,Jacob,Year 10,2025-02-11,Present
301,11,Khloe,Year 9,2025-11-29,Present
302,11,Khloe,Year 9,2025-02-17,Present
303,11,Khloe,Year 9,2025-07-13,Present
304,11,Khloe,Year 9,2025-01-29,Present
305,11,Khloe,Year 9,2025-12-26,Present
306,11,Khloe,Year 9,2025-09-13,Absent
307,11,Khloe,Year 9,2025-11-27,Present
308,11,Khloe,Year 9,2025-10-17,Late
309,11,Khloe,Year 9,2025-02-18,Absent
310,11,Khloe,Year 9,2025-01-22,Present
311,11,Khloe,Year 9,2025-12-21,Absent
312,11,Khloe,Year 9,2025-09-01,Present
313,11,Khloe,Year 9,2025-02-08,Present
314,11,Khloe,Year 9,2025-05-24,Absent
315,11,Khloe,Year 9,2025-10-16,Present
316,11,Khloe,Year 9,2025-04-02,Absent
317,11,Khloe,Year 9,2025-06-11,Present
318,11,Khloe,Year 9,2025-04-17,Present
319,11,Khloe,Year 9,2025-12-31,Present
320,11,Khloe,Year 9,2025-02-09,Present
321,11,Khloe,Year 9,2025-10-16,Present
322,11,Khloe,Year 9,2025-07-19,Present
323,11,Khloe,Year 9,2025-10-04,Present
324,11,Khloe,Year 9,2025-03-13,Present
325,11,Khloe,Year 9,2025-12-19,Present
326,11,Khloe,Year 9,2025-09-14,Present
327,11,Khloe,Year 9,2025-06-27,Present
328,11,Khloe,Year 9,2025-08-12,Present
329,11,Khloe,Year 9,2025-02-08,Present
330,11,Khloe,Year 9,2025-11-11,Late
331,12,Leo,Year 10,2025-07-23,Late
332,12,Leo,Year 10,2025-06-17,Present
333,12,Leo,Year 10,2025-05-20,Present
334,12,Leo,Year 10,2025-08-19,Present
335,12,Leo,Year 10,2025-07-02,Present
336,12,Leo,Year 10,2025-07-12,Present
337,12,Leo,Year 10,2025-12-15,Present
338,12,Leo,Year 10,2025-07-14,Present
339,12,Leo,Year 10,2025-11-13,Present
340,12,Leo,Year 10,2025-05-07,Present
341,12,Leo,Year 10,2025-02-12,Present
342,12,Leo,Year 10,2025-07-14,Present
343,12,Leo,Year 10,2025-11-21,Present
344,12,Leo,Year 10,2025-07-19,Present
345,12,Leo,Year 10,2025-02-24,Present
346,12,Leo,Year 10,2025-06-07,Present
347,12,Leo,Year 10,2025-05-19,Present
348,12,Leo,Year 10,2025-02-14,Present
349,12,Leo,Year 10,2025-08-18,Present
350,12,Leo,Year 10,2025-09-20,Present
351,12,Leo,Year 10,2025-01-14,Present
352,12,Leo,Year 10,2025-10-11,Present
353,12,Leo,Year 10,2025-11-03,Present
354,12,Leo,Year 10,2025-07-17,Present
355,12,Leo,Year 10,2025-07-31,Present
356,12,Leo,Year 10,2025-02-13,Present
357,12,Leo,Year 10,2025-10-14,Absent
358,12,Leo,Year 10,2025-05-05,Present
359,12,Leo,Year 10,2025-03-28,Present
360,12,Leo,Year 10,2025-03-28,Present
361,13,Maya,Year 10,2025-06-04,Present
362,13,Maya,Year 10,2025-03-16,Present
363,13,Maya,Year 10,2025-08-11,Present
364,13,Maya,Year 10,2025-06-03,Present
365,13,Maya,Year 10,2025-02-09,Present
366,13,Maya,Year 10,2025-05-07,Present
367,13,Maya,Year 10,2025-09-11,Present
368,13,Maya,Year 10,2025-04-11,Present
369,13,Maya,Year 10,2025-03-11,Present
370,13,Maya,Year 10,2025-07-22,Present
371,13,Maya,Year 10,2025-11-14,Present
372,13,Maya,Year 10,2025-06-18,Present
373,13,Maya,Year 10,2025-08-09,Present
374,13,Maya,Year 10,2025-11-30,Late
375,13,Maya,Year 10,2025-03-11,Present
376,13,Maya,Year 10,2025-11-05,Late
377,13,Maya,Year 10,2025-04-13,Present
378,13,Maya,Year 10,2025-04-01,Late
379,13,Maya,Year 10,2025-06-13,Present
380,13,Maya,Year 10,2025-12-22,Present
381,13,Maya,Year 10,2025-10-22,Present
382,13,Maya,Year 10,2025-06-16,Present
383,13,Maya,Year 10,2025-07-21,Present
384,13,Maya,Year 10,2025-10-16,Present
385,13,Maya,Year 10,2025-10-07,Present
386,13,Maya,Year 10,2025-10-09,Present
387,13,Maya,Year 10,2025-08-25,Late
388,13,Maya,Year 10,2025-04-18,Present
389,13,Maya,Year 10,2025-05-30,Present
390,13,Maya,Year 10,2025-02-05,Present
391,14,Noah,Year 9,2025-07-29,Present
392,14,Noah,Year 9,2025-03-13,Present
393,14,Noah,Year 9,2025-05-04,Present
394,14,Noah,Year 9,2025-03-20,Present
395,14,Noah,Year 9,2025-07-13,Present
396,14,Noah,Year 9,2025-11-03,Present
397,14,Noah,Year 9,2025-07-25,Present
398,14,Noah,Year 9,2025-12-21,Present
399,14,Noah,Year 9,2025-01-19,Present
400,14,Noah,Year 9,2025-07-04,Present
401,14,Noah,Year 9,2025-10-02,Present
402,14,Noah,Year 9,2025-02-13,Present
403,14,Noah,Year 9,2025-05-08,Present
404,14,Noah,Year 9,2025-07-01,Present
405,14,Noah,Year 9,2025-11-10,Present
406,14,Noah,Year 9,2025-11-27,Present
407,14,Noah,Year 9,2025-07-24,Late
408,14,Noah,Year 9,2025-06-19,Late
409,14,Noah,Year 9,2025-08-09,Present
410,14,Noah,Year 9,2025-02-20,Present
411,14,Noah,Year 9,2025-09-19,Present
412,14,Noah,Year 9,2025-10-13,Present
413,14,Noah,Year 9,2025-10-22,Present
414,14,Noah,Year 9,2025-07-11,Present
415,14,Noah,Year 9,2025-12-14,Present
416,14,Noah,Year 9,2025-09-14,Present
417,14,Noah,Year 9,2025-01-13,Present
418,14,Noah,Year 9,2025-06-01,Present
419,14,Noah,Year 9,2025-02-13,Present
420,14,Noah,Year 9,2025-03-14,Present
421,15,Olivia,Year 9,2025-06-25,Present
422,15,Olivia,Year 9,2025-04-16,Present
423,15,Olivia,Year 9,2025-06-28,Present
424,15,Olivia,Year 9,2025-08-13,Present
425,15,Olivia,Year 9,2025-08-20,Present
426,15,Olivia,Year 9,2025-06-03,Present
427,15,Olivia,Year 9,2025-12-30,Present
428,15,Olivia,Year 9,2025-06-25,Present
429,15,Olivia,Year 9,2025-12-13,Present
430,15,Olivia,Year 9,2025-05-05,Present
431,15,Olivia,Year 9,2025-10-10,Present
432,15,Olivia,Year 9,2025-10-14,Present
433,15,Olivia,Year 9,2025-08-25,Present
434,15,Olivia,Year 9,2025-07-27,Present
435,15,Olivia,Year 9,2025-04-06,Present
436,15,Olivia,Year 9,2025-08-10,Present
437,15,Olivia,Year 9,2025-11-11,Absent
438,15,Olivia,Year 9,2025-08-19,Present
439,15,Olivia,Year 9,2025-07-19,Present
440,15,Olivia,Year 9,2025-04-20,Present
441,15,Olivia,Year 9,2025-12-27,Present
442,15,Olivia,Year 9,2025-02-02,Present
443,15,Olivia,Year 9,2025-10-02,Present
444,15,Olivia,Year 9,2025-06-16,Present
445,15,Olivia,Year 9,2025-02-28,Present
446,15,Olivia,Year 9,2025-09-08,Present
447,15,Olivia,Year 9,2025-11-24,Present
448,15,Olivia,Year 9,2025-07-18,Present
449,15,Olivia,Year 9,2025-10-28,Present
450,15,Olivia,Year 9,2025-06-30,Absent
451,16,Priya,Year 8,2025-11-13,Present
452,16,Priya,Year 8,2025-12-11,Present
453,16,Priya,Year 8,2025-06-02,Absent
454,16,Priya,Year 8,2025-10-30,Present
455,16,Priya,Year 8,2025-03-10,Present
456,16,Priya,Year 8,2025-05-03,Present
457,16,Priya,Year 8,2025-04-04,Present
458,16,Priya,Year 8,2025-03-14,Present
459,16,Priya,Year 8,2025-08-03,Present
460,16,Priya,Year 8,2025-10-22,Present
461,16,Priya,Year 8,2025-04-06,Present
462,16,Priya,Year 8,2025-10-03,Present
463,16,Priya,Year 8,2025-11-27,Absent
464,16,Priya,Year 8,2025-03-30,Present
465,16,Priya,Year 8,2025-09-08,Present
466,16,Priya,Year 8,2025-04-06,Present
467,16,Priya,Year 8,2025-08-19,Present
468,16,Priya,Year 8,2025-07-03,Late
469,16,Priya,Year 8,2025-09-06,Present
470,16,Priya,Year 8,2025-07-16,Late
471,16,Priya,Year 8,2025-09-16,Present
472,16,Priya,Year 8,2025-07-29,Present
473,16,Priya,Year 8,2025-08-01,Present
474,16,Priya,Year 8,2025-08-16,Present
475,16,Priya,Year 8,2025-02-12,Present
476,16,Priya,Year 8,2025-04-23,Present
477,16,Priya,Year 8,2025-05-21,Present
478,16,Priya,Year 8,2025-05-28,Present
479,16,Priya,Year 8,2025-08-23,Present
480,16,Priya,Year 8,2025-09-11,Present
481,17,Rohan,Year 9,2025-02-27,Present
482,17,Rohan,Year 9,2025-05-18,Present
483,17,Rohan,Year 9,2025-07-07,Present
484,17,Rohan,Year 9,2025-01-22,Present
485,17,Rohan,Year 9,2025-08-14,Present
486,17,Rohan,Year 9,2025-08-06,Present
487,17,Rohan,Year 9,2025-12-01,Present
488,17,Rohan,Year 9,2025-06-02,Absent
489,17,Rohan,Year 9,2025-01-17,Present
490,17,Rohan,Year 9,2025-06-28,Absent
491,17,Rohan,Year 9,2025-02-14,Present
492,17,Rohan,Year 9,2025-03-02,Present
493,17,Rohan,Year 9,2025-05-02,Present
494,17,Rohan,Year 9,2025-10-29,Present
495,17,Rohan,Year 9,2025-12-30,Present
496,17,Rohan,Year 9,2025-08-08,Present
497,17,Rohan,Year 9,2025-03-13,Present
498,17,Rohan,Year 9,2025-04-16,Present
499,17,Rohan,Year 9,2025-10-19,Present
500,17,Rohan,Year 9,2025-05-24,Present
501,17,Rohan,Year 9,2025-03-28,Present
502,17,Rohan,Year 9,2025-12-27,Present
503,17,Rohan,Year 9,2025-10-21,Present
504,17,Rohan,Year 9,2025-09-21,Late
505,17,Rohan,Year 9,2025-12-14,Present
506,17,Rohan,Year 9,2025-03-11,Late
507,17,Rohan,Year 9,2025-07-30,Absent
508,17,Rohan,Year 9,2025-05-22,Absent
509,17,Rohan,Year 9,2025-03-06,Present
510,17,Rohan,Year 9,2025-03-09,Present
511,18,Sophie,Year 8,2025-12-31,Present
512,18,Sophie,Year 8,2025-05-07,Present
513,18,Sophie,Year 8,2025-12-13,Present
514,18,Sophie,Year 8,2025-03-14,Present
515,18,Sophie,Year 8,2025-05-18,Present
516,18,Sophie,Year 8,2025-07-12,Present
517,18,Sophie,Year 8,2025-11-21,Present
518,18,Sophie,Year 8,2025-02-17,Present
519,18,Sophie,Year 8,2025-05-23,Present
520,18,Sophie,Year 8,2025-07-08,Present
521,18,Sophie,Year 8,2025-09-07,Present
522,18,Sophie,Year 8,2025-01-02,Absent
523,18,Sophie,Year 8,2025-02-17,Present
524,18,Sophie,Year 8,2025-08-23,Present
525,18,Sophie,Year 8,2025-12-24,Present
526,18,Sophie,Year 8,2025-02-02,Present
527,18,Sophie,Year 8,2025-07-23,Present
528,18,Sophie,Year 8,2025-08-08,Present
529,18,Sophie,Year 8,2025-09-11,Present
530,18,Sophie,Year 8,2025-05-26,Present
531,18,Sophie,Year 8,2025-10-23,Present
532,18,Sophie,Year 8,2025-09-06,Present
533,18,Sophie,Year 8,2025-12-16,Present
534,18,Sophie,Year 8,2025-01-24,Present
535,18,Sophie,Year 8,2025-08-24,Present
536,18,Sophie,Year 8,2025-03-22,Present
537,18,Sophie,Year 8,2025-01-01,Late
538,18,Sophie,Year 8,2025-08-08,Present
539,18,Sophie,Year 8,2025-12-19,Absent
540,18,Sophie,Year 8,2025-11-29,Present
541,19,Theo,Year 9,2025-05-21,Present
542,19,Theo,Year 9,2025-07-04,Present
543,19,Theo,Year 9,2025-07-10,Present
544,19,Theo,Year 9,2025-11-29,Present
545,19,Theo,Year 9,2025-07-22,Present
546,19,Theo,Year 9,2025-12-25,Present
547,19,Theo,Year 9,2025-08-08,Present
548,19,Theo,Year 9,2025-12-27,Present
549,19,Theo,Year 9,2025-04-20,Present
550,19,Theo,Year 9,2025-03-09,Present
551,19,Theo,Year 9,2025-09-23,Present
552,19,Theo,Year 9,2025-01-05,Present
553,19,Theo,Year 9,2025-06-25,Present
554,19,Theo,Year 9,2025-08-05,Present
555,19,Theo,Year 9,2025-09-02,Present
556,19,Theo,Year 9,2025-07-16,Present
557,19,Theo,Year 9,2025-02-22,Present
558,19,Theo,Year 9,2025-07-08,Absent
559,19,Theo,Year 9,2025-03-12,Present
560,19,Theo,Year 9,2025-03-10,Present
561,19,Theo,Year 9,2025-12-13,Present
562,19,Theo,Year 9,2025-09-29,Present
563,19,Theo,Year 9,2025-11-09,Present
564,19,Theo,Year 9,2025-08-14,Present
565,19,Theo,Year 9,2025-04-20,Present
566,19,Theo,Year 9,2025-03-19,Absent
567,19,Theo,Year 9,2025-11-12,Present
568,19,Theo,Year 9,2025-04-22,Present
569,19,Theo,Year 9,2025-02-21,Present
570,19,Theo,Year 9,2025-03-05,Present
571,20,Zara,Year 8,2025-07-16,Present
572,20,Zara,Year 8,2025-08-08,Present
573,20,Zara,Year 8,2025-03-13,Present
574,20,Zara,Year 8,2025-11-27,Present
575,20,Zara,Year 8,2025-10-11,Present
576,20,Zara,Year 8,2025-11-08,Present
577,20,Zara,Year 8,2025-12-20,Present
578,20,Zara,Year 8,2025-12-04,Absent
579,20,Zara,Year 8,2025-04-16,Present
580,20,Zara,Year 8,2025-09-18,Present
581,20,Zara,Year 8,2025-07-20,Present
582,20,Zara,Year 8,2025-01-28,Present
583,20,Zara,Year 8,2025-05-03,Present
584,20,Zara,Year 8,2025-02-27,Present
585,20,Zara,Year 8,2025-11-23,Present
586,20,Zara,Year 8,2025-09-28,Absent
587,20,Zara,Year 8,2025-01-07,Late
588,20,Zara,Year 8,2025-06-12,Present
589,20,Zara,Year 8,2025-10-19,Present
590,20,Zara,Year 8,2025-10-07,Present
591,20,Zara,Year 8,2025-08-30,Late
592,20,Zara,Year 8,2025-02-07,Present
593,20,Zara,Year 8,2025-02-04,Present
